run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,0,has_close_elements,1,1,0.9,0.6,0.3,8.179,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,1,separate_paren_groups,0,1,0.9,0.2,0.7,13.345,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,2,truncate_number,1,1,0.8,0.7,0.1,9.811,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,3,below_zero,1,1,0.9,0.0,0.9,7.16,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,4,mean_absolute_deviation,1,1,0.9,0.0,0.9,5.752,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,5,intersperse,0,0,0.9,0.6,0.3,12.051,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,6,parse_nested_parens,1,1,0.9,0.0,0.9,10.852,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,7,filter_by_substring,1,1,0.9,0.0,0.9,7.312,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,8,sum_product,1,1,0.0,0.0,0.0,1.926,0,0,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,9,rolling_max,1,1,0.7,0.7,0.0,12.958,1,0,1,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,10,make_palindrome,0,0,0.9,0.7,0.2,15.532,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,11,string_xor,1,1,0.9,0.0,0.9,8.869,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,12,longest,1,1,0.7,0.0,0.7,10.942,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,13,greatest_common_divisor,0,1,0.9,0.9,0.0,3.995,1,0,1,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,14,all_prefixes,1,1,0.9,0.0,0.9,6.448,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,15,string_sequence,1,1,0.9,0.6,0.3,7.257,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,16,count_distinct_characters,1,1,0.0,0.0,0.0,1.808,0,0,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,17,parse_music,0,0,0.7,0.7,0.0,20.451,1,0,1,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,18,how_many_times,1,1,0.9,0.7,0.2,11.158,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,19,sort_numbers,0,0,0.7,0.7,0.0,10.766,1,0,1,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,20,find_closest_elements,0,0,0.8,0.8,0.0,20.537,1,0,1,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,21,rescale_to_unit,1,1,0.9,0.0,0.9,11.054,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,22,filter_integers,1,1,0.9,0.0,0.9,7.161,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,23,strlen,1,1,0.0,0.0,0.0,1.809,0,0,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,24,largest_divisor,0,1,0.9,0.0,0.9,6.415,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,25,factorize,1,1,0.9,0.6,0.3,14.716,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,26,remove_duplicates,0,0,0.9,0.0,0.9,7.829,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,27,flip_case,1,1,0.0,0.0,0.0,2.051,0,0,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,28,concatenate,1,1,0.9,0.0,0.9,5.383,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,29,filter_by_prefix,1,1,0.9,0.0,0.9,7.192,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,30,get_positive,1,1,0.9,0.0,0.9,4.476,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,31,is_prime,1,1,0.9,0.0,0.9,6.164,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,32,find_zero,0,0,0.9,0.7,0.2,21.556,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,33,sort_third,0,0,0.9,0.7,0.2,15.284,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,34,unique,1,1,0.6,0.6,0.0,2.852,0,0,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,35,max_element,1,1,0.0,0.0,0.0,1.804,0,0,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,36,fizz_buzz,0,0,0.9,0.8,0.1,9.935,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,37,sort_even,0,0,0.9,0.7,0.2,18.495,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,38,decode_cyclic,0,0,0.9,0.6,0.3,16.567,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,39,prime_fib,0,0,0.9,0.7,0.2,10.041,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,40,triples_sum_to_zero,1,1,0.9,0.6,0.3,15.371,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,41,car_race_collision,0,0,0.8,0.8,0.0,27.066,1,0,1,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,42,incr_list,1,1,0.9,0.0,0.9,4.492,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,43,pairs_sum_to_zero,1,1,0.9,0.6,0.3,15.557,1,1,0,1
20260508_032521,codellama_retry_t05,with_monitoring,0.0,0.6,44,change_base,1,1,0.9,0.8,0.1,7.33,1,1,0,1
